diag,proc,msp,din
A420,33780,01366,
A421,33782,01380,
A422,33783,01381,
A427,33786,01382,
A4281,33813,01383,
A4282,33814,01384,
A4289,33920,01385,
A429,33975,01386,
A430,33976,01390,
A431,33977,01391,
A438,33978,01392,
A439,33979,01393,
A440,33980,01394,
A441,0051T,01395,
A448,0052T,01396,
A449,0053T,01400,
A46,33509,01401,
A480,33510,01402,
A481,33511,01403,
A482,33512,01404,
A483,33513,01405,
A484,33514,01406,
A4851,33516,01480,
A4852,35600,01481,
A488,33533,01482,
A4901,33534,01483,
A4902,33535,01484,
A491,33536,01485,
A492,35301,01486,
A493,35390,01500,
A498,47480,01501,
A499,47562,01502,
A5001,47563,01503,
A5002,47564,01504,
A5003,47570,01505,
A5004,47600,01506,
A5005,47605,01510,
A5006,47610,01511,
A5007,47612,01512,
A5008,47620,01513,
A5009,47720,01514,
A501,47721,01515,
A502,47740,01516,
A5030,47741,01520,
A5031,44025,01521,
A5032,44110,01522,
A5039,44111,01523,
A5040,44137,01524,
A5041,44140,01525,
A5042,44141,01526,
A5043,44143,01550,
A5044,44144,01551,
A5045,44145,01552,
A5049,44146,01553,
A5051,44147,01554,
A5052,44150,01555,
A5053,44151,01556,
A5054,44155,01560,
A5055,44156,01561,
A5056,44157,01562,
A5057,44158,01563,
A5059,44160,01564,
A506,44188,01565,
A507,44204,01566,
A509,44205,01570,
A510,44206,01571,
A511,44207,01572,
A512,44208,01573,
A5131,44210,01574,
A5132,44211,01575,
A5139,44212,01576,
A5141,44213,01580,
A5142,44227,01581,
A5143,44320,01582,
A5144,44322,01583,
A5145,44340,01584,
A5146,44345,01585,
A5149,44346,01586,
A515,44604,01590,
A519,44605,01591,
A5200,44620,01592,
A5201,44625,01593,
A5202,44626,01594,
A5203,61105,01595,
A5204,61107,01596,
A5205,61108,01600,
A5206,61120,01601,
A5209,61140,01602,
A5210,61150,01603,
A5211,61151,01604,
A5212,61154,01605,
A5213,61156,01606,
A5214,61210,01610,
A5215,61250,01611,
A5216,61253,01612,
A5217,61304,01613,
A5219,61305,01614,
A522,61312,01615,
A523,61313,01616,
A5271,61314,01620,
A5272,61315,01621,
A5273,61320,01622,
A5274,61321,01623,
A5275,61322,01624,
A5276,61323,01625,
A5277,61330,01626,
A5278,61333,01630,
A5279,61340,01631,
A528,61343,01632,
A529,61345,01633,
A530,61458,01634,
A539,61460,01635,
A5400,61510,01636,
A5401,61512,01640,
A5402,61514,01641,
A5403,61516,01642,
A5409,61518,01643,
A541,61519,01644,
A5421,61520,01645,
A5422,61521,01646,
A5423,61522,01650,
A5424,61524,01651,
A5429,61526,01652,
A5430,61530,01653,
A5431,61531,01654,
A5432,61533,01655,
A5433,61534,01656,
A5439,61535,01660,
A5440,61536,01661,
A5441,61537,01662,
A5442,61538,01663,
A5443,61539,01664,
A5449,61540,01665,
A545,61541,01666,
A546,61543,01670,
A5481,61544,01671,
A5482,61545,01672,
A5483,61546,01673,
A5484,61548,01674,
A5485,61566,01675,
A5486,61567,01676,
A5489,61570,01690,
A549,61571,01691,
A55,61575,01692,
A5600,61576,01693,
A5601,61580,01694,
A5602,61581,01695,
A5609,61582,01696,
A5611,61583,01700,
A5619,61584,01701,
A562,61585,01702,
A563,61586,01703,
A564,61590,01704,
A568,61591,01705,
A57,61592,01706,
A58,61595,01710,
A5900,61598,01711,
A5901,61600,01712,
A5902,61601,01713,
A5903,61605,01714,
A5909,61606,01715,
A598,61607,01716,
A599,61608,01720,
A6000,61615,01721,
A6001,61616,01722,
A6002,61618,01723,
A6003,61619,01724,
A6004,61680,01725,
A6009,61682,01726,
A601,61684,01730,
A609,61686,01731,
A630,61690,01732,
A638,61692,01733,
A64,61697,01734,
A65,61698,01735,
A660,61700,01736,
A661,61702,01740,
A662,61703,01741,
A663,61705,01742,
A664,61708,01743,
A665,61710,01744,
A666,61711,01745,
A667,61720,01746,
A668,61735,01750,
A669,61736,01751,
A670,61737,01752,
A671,61750,01753,
A672,61751,01754,
A673,61760,01755,
A679,61770,01756,
A680,61850,01760,
A681,61860,01761,
A689,61863,01762,
A690,61867,01763,
A691,61870,01764,
A6920,61880,01765,
A6921,62000,01766,
A6922,62005,01770,
A6923,62010,01771,
A6929,62100,01772,
A698,62120,01773,
A699,62121,01774,
A70,62161,01775,
A710,62163,01776,
A711,62164,01780,
A719,62165,01781,
A740,62200,01782,
A7481,62201,01783,
A7489,59100,01784,
A749,59510,01785,
A750,59514,01786,
A751,59515,01790,
A752,59618,01791,
A753,59620,01792,
A759,59622,01793,
A770,59857,01794,
A771,22532,01795,
A772,22533,01796,
A773,22548,01800,
A7740,22551,01801,
A7741,22554,01802,
A7749,22556,01803,
A778,22558,01804,
A779,22586,01805,
A78,22590,01806,
A790,22595,01880,
A791,22600,01881,
A7981,22610,01882,
A7982,22612,01883,
A7989,22630,01884,
A799,22633,01885,
A800,22800,01886,
A801,22802,01890,
A802,22804,01891,
A8030,22808,01892,
A8039,22810,01893,
A804,22812,01894,
A809,27280,01895,
A8100,23615,01896,
A8101,23616,0200,
A8109,23630,0201,
A811,23670,0202,
A812,23680,0203,
A8181,24515,0204,
A8182,24516,0205,
A8183,24545,0208,
A8189,24546,0209,
A819,24575,0210,
A820,24579,0211,
A821,24586,0212,
A829,24587,0213,
A830,24635,0218,
A831,24665,0219,
A832,24666,0220,
A833,24685,0221,
A834,25337,0222,
A835,25515,0223,
A836,25525,0228,
A838,25526,0229,
A839,25545,0230,
A840,25574,0231,
A841,25575,0232,
A848,25607,0233,
A8481,25608,0238,
A8489,25609,0239,
A849,25652,024,
A850,27177,025,
A851,27178,0260,
A852,27179,0261,
A858,27181,0269,
A86,27244,0270,
A870,27245,0271,
A871,27248,0272,
A872,27254,0278,
A878,27269,0279,
A879,27506,0300,
A880,27507,0301,
A881,27511,0302,
A888,27513,0303,
A89,27514,0308,
A90,27519,0309,
A91,27535,0310,
A920,27536,0311,
A921,27540,0312,
A922,27758,0318,
A9230,27759,0319,
A9231,27766,0320,
A9232,27769,0321,
A9239,27784,0322,
A924,27792,0323,
A925,27814,03281,
A928,27822,03282,
A929,27823,03283,
A930,27826,03284,
A931,27827,03285,
A932,27828,03289,
A938,27829,0329,
A94,43117,0330,
A950,43118,0331,
A951,43121,0338,
A959,43122,0339,
A960,43286,0340,
A961,43287,0341,
A962,43288,035,
A968,43320,0360,
A969,43360,0361,
A980,43500,0362,
A981,43501,0363,
A982,43502,03640,
A983,43520,03641,
A984,43605,03642,
A985,43610,03643,
A988,43611,03681,
A99,43620,03682,
B000,43621,03689,
B001,43622,0369,
B002,43631,037,
B003,43632,0380,
B004,43633,03810,
B0050,43634,03811,
B0051,43640,03812,
B0052,43641,03819,
B0053,43644,0382,
B0059,43645,0383,
B007,43770,03840,
B0081,43771,03841,
B0082,43772,03842,
B0089,43773,03843,
B009,43774,03844,
B010,43775,03849,
B0111,43800,0388,
B0112,43810,0389,
B012,43820,0390,
B0181,43825,0391,
B0189,43840,0392,
B019,43842,0393,
B020,43843,0394,
B021,43845,0398,
B0221,43847,0399,
B0222,43848,0400,
B0223,43860,0401,
B0224,43865,0402,
B0229,43870,0403,
B0230,43880,04041,
B0231,43886,04042,
B0232,43887,04081,
B0233,43888,04082,
B0234,11008,04089,
B0239,49491,04100,
B027,49492,04101,
B028,49495,04102,
B029,49496,04103,
B03,49500,04104,
B04,49501,04105,
B050,49505,04109,
B051,49507,04110,
B052,49520,04111,
B053,49521,04112,
B054,49525,04119,
B0581,49550,0412,
B0589,49553,0413,
B059,49555,0414,
B0600,49557,04141,
B0601,49591,04142,
B0602,49592,04143,
B0609,49593,04149,
B0681,49594,0415,
B0682,49595,0416,
B0689,49596,0417,
B069,49600,04181,
B070,49605,04182,
B078,49606,04183,
B079,49610,04184,
B08010,49611,04185,
B08011,49613,04186,
B0802,49614,04189,
B0803,49615,0419,
B0804,49616,042,
B0809,49617,04500,
B081,49618,04501,
B0820,49621,04502,
B0821,49622,04503,
B0822,49650,04510,
